a			 K K K
detective			 K K K
detector			 K K K
deteriorate			 N N N
determine			 K K K
develop			 K K K
deviate			 U U N
device			 K K K
devil			 U N N
devise			 K K K
devote			 K K K
dew			 U U U
diagnose			 U U U
diagram			 N N N
dial			 U N N
dialect			 U U U
dialog			 N N N
diameter			 U U N
diamond			 K K K
diary			 U U U
dictate			 U N N
dictation			 U N N
dictionary			 K K K
die			 N N N
diet			 N N N
differ			 K K K
difference			 K K K
different			 K K K
differentiate			 K K K
difficult			 K K K
difficulty			 K K K
diffuse			 U U N
dig			 K K K
digest			 U N N
digital			 K K K
dignity			 U N N
dilemma			 K K K
diligent			 N N N
dilute			 U U N
dim			 U N N
dimension			 K K K
diminish			 U N N
dine			 U U U
dinner			 K K K
dip			 U U N
diploma			 U U N
diplomatic			 U U N
direct			 N N N
direction			 K K K
directly			 K K K
director			 K K K
directory			 K K K
dirt			 U N N
dirty			 K K K
disable			 N N N
disappear			 K K K
disappoint			 K K K
disaster			 K K K
disastrous			 K K K
disc			 U N N
discard			 K K K
discern			 U N N
discharge			 N N N
discipline			 N N N
disclose			 K K K
discount			 N N N
discourage			 K K K
discourse			 U N N
discover			 K K K
discovery			 K K K
discreet			 U U N
discrepancy			 U U N
discriminate			 N N N
discuss			 K K K
disease			 U N N
disgrace			 U U N
disguise			 U N N
disgust			 U U U
dish			 K K K
dislike			 K K K
dismay			 U U N
dismiss			 K K K
disorder			 K K K
disperse			 U U U
displace			 K K K
display			 K K K
disposal			 U U U
dispose			 U U U
disposition			 U U U
dispute			 N N N
disregard			 K K K
disrupt			 U U U
dissipate			 U U N
dissolve			 U U U
distance			 K K K
distant			 U N N
distill			 U N N
distinct			 N N N
distinction			 N N N
distinguish			 N N N
distort			 N N N
distract			 U U N
distress			 U N N
distribute			 K K K
district			 U U U
disturb			 K K K
disturbance			 K K K
ditch			 U N N
dive			 N N N
diverse			 N N N
diversion			 N N N
divert			 U U U
divide			 N N N
dividend			 N N N
divine			 U U N
division			 N N N
divorce			 K K K
dizzy			 U N N
do			 K K K
dock			 U U U
doctor			 K K K
doctorate			 U N N
document			 K K K
documentary			 K K K
dog			 K K K
doll			 U N N
dollar			 K K K
domain			 K K K
dome			 K K K
domestic			 K K K
dominant			 K K K
dominate			 K K K
donate			 U N N
donkey			 U N N
doom			 U U U
door			 K K K
doorway			 U N N
dorm			 U U U
dose			 U U N
dot			 K K K
doubt			 K K K
dove			 U U N
down			 K K K
downstairs			 N N N
downtown			 N N N
downward			 K K K
doze			 K K K
dozen			 K K K
draft			 K K K
drag			 K K K
dragon			 K K K
drain			 U N N
drama			 N N N
dramatic			 K K K
drastic			 U U U
draw			 K K K
drawback			 K K K
drawer			 K K K
drawing			 K K K
dread			 U N N
dream			 K K K
dress			 U N N
drift			 N N N
drill			 U N N
drink			 K K K
drip			 U N N
drive			 K K K
driver			 K K K
drop			 K K K
NULL			 K K K
drought			 U U U
drown			 U U U
drug			 K K K
drum			 U U N
drunk			 K K K
dry			 K K K
dubious			 N N N
duck			 U N N
due			 K K K
dull			 U U U
dumb			 U U N
dump			 K K K
duplicate			 K K K
durable			 N N N
duration			 K K K
during			 K K K
dusk			 U U U
dust			 U U N
duty			 K K K
dwarf			 U U U
dwell			 N N N
dwelling			 N N N
dye			 U U N
dynamic			 K K K
dynasty			 U N N
each			 K K K
eager			 N N N
eagle			 U N N
ear			 K K K
early			 K K K
earn			 K K K
earnest			 K K K
earth			 K K K
earthquake			 K K K
ease			 K K K
east			 K K K
Easter			 K K K
eastern			 K K K
easy			 K K K
eat			 K K K
ebb			 U U N
eccentric			 K K K
echo			 K K K
eclipse			 K K K
ecology			 K K K
economic			 K K K
economical			 K K K
economics			 K K K
economy			 K K K
edge			 K K K
edible			 K K K
edit			 K K K
edition			 K K K
editor			 K K K
editorial			 K K K
educate			 K K K
education			 K K K
effect			 K K K
effective			 K K K
efficiency			 K K K
efficient			 K K K
effort			 K K K
egg			 K K K
ego			 U U N
eight			 K K K
eighteen			 K K K
eighty			 K K K
either			 K K K
eject			 N N N
elaborate			 K K K
elapse			 K K K
elastic			 N N N
elbow			 K K K
elder			 K K K
elderly			 K K K
elect			 K K K
electric			 K K K
electrical			 K K K
electrician			 K K K
electricity			 K K K
electron			 K K K
electronic			 K K K
elegant			 K K K
element			 K K K
elementary			 K K K
elephant			 K K K
elevate			 K K K
elevator			 K K K
eleven			 K K K
eligible			 K K K
eliminate			 K K K
elite			 K K K
eloquent			 K K K
else			 K K K
elsewhere			 K K K
e-mail			 K K K
embark			 K K K
embarrass			 K K K
embassy			 K K K
embed			 K K K
embody			 K K K
embrace			 K K K
emerge			 K K K
emergency			 K K K
emigrate			 K K K
eminent			 N N N
emit			 K K K
emotion			 K K K
emperor			 K K K
emphasis			 K K K
emphasize			 K K K
empire			 K K K
empirical			 N N N
employ			 K K K
employee			 K K K
employer			 K K K
employment			 K K K
empty			 K K K
enable			 K K K
enclose			 K K K
enclosure			 K K K
encounter			 K K K
encourage			 K K K
encyclopedia			 K K K
end			 K K K
endeavor			 N N N
ending			 K K K
endow			 N N N
endurance			 U N N
